round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 82,Black,team,Win,Checkmate,0.5,31,74.5,4.2,0.0,2.4,61.0,w-e04a3f,2026-09-09T13:26:37.052385+00:00
Rated 81,White,Clanfinn,Win,Checkmate,0.5,66,133.8,3.7,0.0,2.0,19.2,w-7e09b1,2026-09-09T12:31:50.005337+00:00
Rated 80,Black,Stochastic Gambit,Loss,Checkmate,0.5,91,153.9,4.1,0.0,1.7,11.6,w-b23ebd,2026-09-09T11:28:41.089329+00:00
Rated 79,White,IDK,Loss,Checkmate,0.5,54,124.1,3.8,0.0,2.3,22.9,w-978b07,2026-09-09T10:25:28.904338+00:00
Rated 78,Black,Stock-ish,Win,Checkmate,0.5,29,75.6,3.9,0.0,2.6,58.9,w-978b07,2026-09-09T09:25:56.661032+00:00
Rated 77,White,Pawxn,Win,Checkmate,0.5,60,126.3,4.1,0.0,2.1,23.7,w-5b139f,2026-09-09T08:31:04.667535+00:00
Rated 76,Black,404 Not Found,Loss,Checkmate,0.5,64,131.2,4.2,0.0,2.1,20.8,w-f11554,2026-09-09T07:27:43.696577+00:00
Rated 75,White,berserker,Loss,Checkmate,0.6,35,85.3,3.9,0.0,2.4,52.2,w-14b4d5,2026-09-08T21:23:09.051643+00:00
Rated 74,Black,Sassori,Win,Checkmate,0.6,68,136.7,3.9,0.0,2.0,17.3,w-2118a6,2026-09-08T20:28:36.765477+00:00
Rated 73,Black,Bblue,Draw,Threefold repetition,0.5,53,124.7,4.0,1.1,2.4,21.8,w-4e0f8c,2026-09-08T19:28:35.3077+00:00
Rated 72,White,Zero Elo,Loss,Checkmate,0.6,55,123.0,3.9,0.0,2.2,24.5,w-002d36,2026-09-08T18:23:49.388986+00:00
Rated 71,White,neomatica,Win,Checkmate,0.6,47,112.0,4.1,0.0,2.4,31.5,w-002d36,2026-09-08T17:27:10.087621+00:00
Rated 70,Black,AI < human,Loss,Checkmate,0.6,52,119.5,3.9,0.0,2.3,26.5,w-4079cb,2026-09-08T16:22:44.528102+00:00
Rated 69,Black,Tunir,Win,Checkmate,0.6,57,124.9,4.0,0.0,2.2,23.6,w-4079cb,2026-09-08T15:26:25.622583+00:00
Rated 68,White,Hopkins Chess,Loss,Checkmate,0.5,22,56.1,3.8,0.0,2.5,74.9,w-7244f8,2026-09-08T14:22:25.629148+00:00
Rated 67,Black,Ablation,Draw,Threefold repetition,0.5,52,122.1,4.2,0.9,2.3,23.9,w-4e0f8c,2026-09-08T13:23:17.134337+00:00
Rated 66,Black,Alpha Knights,Loss,Checkmate,2.9,44,110.9,3.8,0.0,2.5,31.1,w-2f0760,2026-09-08T12:19:11.431112+00:00
Rated 65,White,The Good Team,Win,Checkmate,0.4,38,104.4,4.1,0.0,2.7,34.6,w-c46394,2026-09-08T11:25:20.404402+00:00
Rated 64,White,"Atheon, Time's Conflux",Draw,Threefold repetition,0.6,51,123.5,4.0,0.7,2.4,22.0,w-2f0760,2026-09-08T10:25:03.540221+00:00
